SITE DATA,,,,Identification,,,,,,,,,,,MEASUREMENTS,,,,,,,MISC SAMPLES,,,,,,,SWABS,,,,BLOOD,,,,,,,TEETH,,Notes,,ANESTHESIA,,,,,,Necropsy,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNAlater (#),,,,PLAIN (#),,,,Aluminum (#),,,,,Teeth,,
Marovitsika,"CB, CR, AR",11/4/13,1,Pteropus rufus,MARO5,NA,,,M,J,,,,,118,23.5,87,55,22,,,y,,,,,,,1,2,2,,150,,,0,4,y,,n,NA,too small,juvenile to MARO4,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/6/13,3,Pteropus rufus,MARO6,304 Gold RT,,,M,A,,,,,740,33,155,84.3,28.1,,,y,,,,,,,3,2,2,,500,,,0,4,y,,n,NA,100.0 (7:02); 98.8 (7:37),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/7/13,4,Pteropus rufus,MARO7,305 Gold LFT,,,F,L,,,,,510,32.5,165,79,25,,,y,,,,,,,2,2,2,,800,,,0,?,y,,n,NA,97.7 (7:46); 101.9 (8:20),mother to MARO8,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/7/13,4,Pteropus rufus,MARO8,NA,,,M,J,,,,,150,24.3,98,50,18.8,,,y,,,,,,,1,2,2,,300,,,0,?,y,,n,NA,98 (8:39); 8:52 (98.9),juvenile to MARO7,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/7/13,4,Pteropus rufus,MARO9,401 Red RT,,,M,A,,,,,700,32,170,88,22.9,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,n,NA,100.6 (9:01); 101.3 (9:23),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/8/13,5,Pteropus rufus,MARO10,306 Gold LFT,,,F,L,,,,,512,28,154,76,24,,,y,,,,,,,2,2,2,,800,,,0,3,y,,n,NA,99.6 (6:31); 99.7 (6:52),mother to MARO11,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/8/13,5,Pteropus rufus,MARO11,NA,,,F,J,,,,,112,20,89,45,21,,,y,,,,,,,0,2,2,,300,,,0,3,y,,n,NA,94.7 (7:04); 97.3 (7:30),juvenile to MARO10,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/8/13,5,Pteropus rufus,MARO12,307 Gold LFT,,,F,L,,,,,650,31,168,86.4,24,,,y,,,,,,,2,2,2,,700,,,0,3,y,,n,NA,100.1 (7:41); 99.3 (7:58),mother to MARO13,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Marovitsika,"CB, CR, AR",11/8/13,5,Pteropus rufus,MARO13,NA,,,F,J,,,,,70,18,59,36,16.5,,,y,,,,,,,1,2,2,,0,,,0,3,y,,n,NA,too small,juvenile to MARO12,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/15/13,1,Pteropus rufus,AMB1,402 Red RT,,,M,A,,,,,710,28,184,82.2,38,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,y (lower right premolar),NA,100.7 (7:53); 98.9 (8:02); 97.5 (8:19); 97.3 (8:27); 95.9 (9:07); 96.8 (9:50); 97.8 (10:40); 100.9 (11:13); 101.8 (12:24),NA,,y,0.04,0.8,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/15/13,1,Pteropus rufus,AMB2,403 Red,,,M,A,,,,,690,26.4,180,90,34,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,y,NA,100.5 (8:41); 98.8 (8:53); 97.6 (9:03); 95.3 (9:54); 97.1 (10:40); 99.9 (11:08); 102.9 (12:22),NA,,y,0.04,0.8,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/15/13,1,Pteropus rufus,AMB3,404 Red,,,F,L,,,,,590,28.5,165,92,25,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,n,NA,104.9 (9:25); 104.8 (9:30); 103.8 (9:55); 103.4 (9:43),mother to AMB4,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/15/13,1,Pteropus rufus,AMB4,NA,,,M,J,,,,,125,16,85.4,50,21.9,,,y,,,,,,,1,2,2,,0,,,0,3,y,,n,NA,99.5 (10:02); 102.2 (10:13); 96.9 (10:31),juvenile to AMB3,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/15/13,1,Pteropus rufus,AMB5,NA,,,M,J,,,,,150,17,99.9,55,27,,,y,,,,,,,1,2,2,,50,,,0,3,y,,n,NA,100.8 (10:47); 101.6 (10:55); 96.7 (11:01),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/15/13,1,Pteropus rufus,AMB6,405 Red LFT,,,F,L,,,,,530,27,160,80,23,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,n,NA,104.1 (11:15); 104.2 (11:31); 99.2 (11:37),mother to AMB7,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/15/13,1,Pteropus rufus,AMB7,NA,,,M,J,,,,,130,17,94,55,20,,,y,,,,,,,2,2,2,,150,,,0,?,y,,n,NA,99.2 (11:45); 105.2 (11:54); 99.7 (12:13),juvenile to AMB6,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/16/13,2,Pteropus rufus,AMB10,NA,,,M,J,,,,,145,?,102,59,21,,,Y,,,,,,,2,2,2,,300,,,0,3,Y,,n,NA,92.6 (8:31); 99.1 (8:38); 98.7 (8:43),juvenile to AMB9,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/16/13,2,Pteropus rufus,AMB11,310 Gold LFT,,,F,L,,,,,520,27,158,82,34,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,n,NA,101.5 (8:59); 103.4 (9:07); 104.7 (9:11); 103.5 (9:16),mother to AMB12,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/16/13,2,Pteropus rufus,AMB12,NA,,,M,J,,,,,150,11.5,99,46,20.8,,,y,,,,,,,0,2,2,,200,,,0,3,y,,n,NA,97.6 (9:26); 98.9 (9:33); 98.9 (9:41),juvenile to AMB11,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/16/13,2,Pteropus rufus,AMB8,308 Gold LFT,,,F,NL,,,,,640,23.4,166,85,27,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,y,NA,100.8 (7:14); 97.4 (7:33); 96.8 (7:38); 96.3 (7:46); 96.9 (8:50); 98.9 (9:20); 101.6 (9:50),NA,,y,0.04,0.65,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/16/13,2,Pteropus rufus,AMB9,309 Gold LFT,,,F,L,,,,,590,25.4,158,79,29,,,y,,,,,,,2,2,2,,600,,,0,3,y,,n,NA,100.3 (7:50); 99.5 (8:01); 99.4 (8:15); 100.4 (8:21),mother to AMB10,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/18/13,4,Pteropus rufus,AMB13,311 Gold LFT,,,F,L,,,,,650,26,161,81.2,20.8,,,y,,,,,,,2,2,2,,500,,,0,3,y,,n,NA,101.8 (7:13); 102.2 (7:22); 102.6 (7:34); 101.6 (7:45),mother to AMB14,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/18/13,4,Pteropus rufus,AMB14,NA,,,F,J,,,,,165,16.5,100,65,19,,,y,,,,,,,2,2,2,,30,,,0,3,y,,n,NA,97.1 (7:53); 97.8 (8:10),juvenile to AMB13,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/18/13,4,Pteropus rufus,AMB15,NA,,,M,J,,,,,130,15,96,54,20.8,,,y,,,,,,,2,2,2,,400,,,0,3,y,,n,NA,97.3 (8:44); 98 (8:56),juvenile to AMB16,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/18/13,4,Pteropus rufus,AMB16,312 Gold LFT,,,F,L,,,,,550,27.8,162,74,22,,,y,,,,,,,2,2,2,,800,,,0,3,y,,n,NA,100.2 (8:19); 101.1 (8:29); 104 (8:35),mother to AMB15,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/18/13,4,Pteropus rufus,AMB17,313 Gold LFT,,,F,L,,,,,520,27.5,168,80,23,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,n,NA,99.2 (9:02); 101.4 (9:10); 105 (9:20),mother to AMB18,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/18/13,4,Pteropus rufus,AMB18,NA,,,M,J,,,,,145,18.2,98.9,51,19.8,,,y,,,,,,,2,2,2,,200,,,0,3,y,,n,NA,97.3 (9:27); 97.7 (9:31); 98.1 (9:38),juvenile to AMB17,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
Ambakoana,"CB,CR, AR, Rabetso",11/19/13,5,Pteropus rufus,AMB19,406 Red RT,,,M,A,,,,,620,27.3,169,81.2,32,,,y,,,,,,,2,2,2,,1000,,,0,3,y,,y,NA,95.7 (6:02); 95.1 (6:09); sub 94 (6:26); sub 94 (6:34); sub 94 (7:07); 95 (7:56); 97.2 (8:19),NA,,y,0.04,0.65,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB1,208 Blue LFT,,,F,NL,,,,,290,19.8,136,61,31,,,y,,,,,,,2,2,2,,1000,,,0,2,y,,y,NA,99.7 (12:41); 98.6 (12:56); 97.9 (13:00); 98.0 (13:13); 97.7 (13:12); 99.2 (13:46); 97.5 (16:55); 97.5 (16:59),NA,,y,0.04,0.6,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB10,217 Blue LFT,,,F,NL,,,,,320,19.5,126,60,35,,,y,,,,,,,0,2,2,,1000,,,0,5,y,,y (5),NA,97.7 (5:26); 97.3 (5:34); 96.2 (4:48); 95.7 (5:59),NA,,y,0.04,0.6,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB11,NA,,,F,L,,,,,280,21,122.8,62,30,,,y,,,,,,,0,0,0,,500,,,0,3,y,,y (5),NA,NA,mother to 2 young (maybe?): ANGB12 and ANGB13,,NA,NA,NA,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB12,NA,,,F,J,,,,,55,10.6,71,33,23,,,n,,,,,,,0,0,0,,0,,,0,0,y,,n,NA,NA,juvenile to ANGB11,,NA,NA,NA,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB13,NA,,,M,J,,,,,60,110,79,34,24,,,n,,,,,,,0,0,0,,0,,,0,0,y,,n,NA,NA,juvenile to ANGB11,,NA,NA,NA,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB2,300 Blue RT,,,M,A,,,,,330,20,127,60,38,,,y,,,,,,,2 + PBS/BSA,2,2,,1000,,,0,2,y,,y (5),NA,100 (12:46); 99.6 (12:58); 98.6 (13:05); 98.8 (13:11); 102.9 (13:34),NA,,y,0.4,0.6,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB3,211 Blue LFT,,,F,NL,,,,,320,21,133.3,60,30.2,,,y,,,,,,,1,2,2,,700,,,0,2,y,,y,NA,103.2 (1:49); 100.7 (1:56); 98.9 (2:03); 99.6 (2:19); 98.3 (2:32); 94.8 (5:00),NA,,y,0.04,0.6,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB4,210 Blue RT,,,M,A,,,,,460,17.5,124,59,32,,,y,,,,,,,1,2,2,,1000,,,0,2,y,,y,NA,102.3 (1:55); 100.2 (2:08); 100.4 (2:19); 99.9 (2:32); 94.8 (3:00),NA,,y,0.04,0.6,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB5,213 Blue ,,,M,A,,,,,325,19.5,127,62.5,29.1,,,y,,,,,,,2 + PBS/BSA,2,2,,0,,,0,2,?,,y (5),NA,100.2 (3:03); 98.2 (3:15); 97.3 (3:28); 97 (3:35); 96.4 (3:54); 97.3 (4:54),NA,,y,0.04,0.6,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB6,212 Blue LFT,,,F,NL,,,,,300,19.5,130,52,33,,,y,,,,,,,2 + PBS/BSA,2,2,,1000,,,0,2,y,,y,NA,103.1 (3:06); 101.0 (3:15); 97.3 (3:35); 97.0 (3:42); 96.5 (3:53); 97.5 (4:52),NA,,y,0.04,0.6,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB7,214 Blue LFT,,,F,NL,,,,,325,21.4,135.3,64.5,30.2,,,y,,,,,,,2 + PBS/BSA,2,2,,400,,,0,2,y,,y,NA,101 (4:09); 98.7 (4:33); 97.1 (6:55); 97.6 (6:58),NA,,y,0.04,0.6,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB8,215 Blue LFT,,,F,NL,,,,,380,18,120,56,33,,,y,,,,,,,0,2,2,,1000,,,0,2,y,,y,NA,97.8 (4:20); 97.7 (4:24); 97.7 (4:30); 97.5 (4:38); 96.6 (4:58),NA,,y,0.04,0.6,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/23/13,1,Eidolon dupreanum,ANGB9,216 Blue LFT,,,F,NL,,,,,290,19,124,62,33,,,y,,,,,,,2 + PBS/BSA,2,2,,1000,,,0,2,y,,y (5),NA,97.7 (5:18); 96.3 (5:45); 95.6 (5:58),NA,,y,0.04,0.6,,,,"4, liver, spleen, kidney, brain, RNAlater",,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB14,218 Blue LFT,,,F,L,,,,,350,19.4,128,58.3,30.25,,,y,,,,,,,0,2,2,,1000,,,0,2,y,,n,NA,97.7 (9:38); 100.5 (9:51),mother tp ANGB15,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB15,NA,,,F,J,,,,,75,11.7,79,30,24,,,n,,,,,,,2,2,2,,0,,,0,0,n,,n,NA,too small,juvenile to ANGB14,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB16,219 Blue LFT,,,F,L,,,,,325,22.4,129,61.4,29.2,,,y,,,,,,,1,2,2,,700,,,0,2,y,,n,NA,98.1 (10:16); 102.5 (10:25); 101.4 (10:27),mother to ANGB17,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB17,NA,,,M,J,,,,,90,12,86.5,40.6,21.8,,,y,,,,,,,0,2,2,,0,,,0,2,y,,n,NA,97.0 (10:37),juvenile to ANGB16,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB18,220 Blue LFT,,,F,L,,,,,300,21,130,62,28,,,y,,,,,,,1,2,2,,1000,,,0,2,y,,n,NA,97.3 (10:59); 97.3 (11:03); 99.9 (11:10),mother to ANGB19 and ANGB20,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB19,NA,,,F,J,,,,,101,12.5,95,41,26,,,y,,,,,,,1,2,2,,0,,,0,2,y,,n,NA,97.1 (11:14); 97.9 (11:29),juvenile to ANGB18,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB20,NA,,,F,J,,,,,70,12.6,84.3,40.6,23.4,,,y,,,,,,,0,2,2,,0,,,0,2,y,,n,NA,97.4 (11:20),juvenile to ANGB18,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB21,221 Blue LFT,,,F,L,,,,,300,22.3,128.1,60.4,29.1,,,y,,0,,1,,,2,2,2,,1000,,,0,2,y,,n,NA,97.5 (11:46); 97.6 (11:54),mother to ANGB22,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB22,NA,,,M,J,,,,,120,13.3,97.8,46.8,20.8,,,y,,,,,,,2,2,2,,100,,,0,2,y,,n,NA,98.0 (12:11); 98.0 (12:16); 99.1 (12:24),juvenile to ANGB21,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB23,222 Blue LFT,,,F,L,,,,,310,22,124,58,25,,,y,,,,,,,2,2,2,,1000,,,0,2,y,,n,NA,98.6 (2:12); 101.2 (2:21); 103.4 (2:25),mother to ANGB24,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB24,NA,,,?,?_Juv,,,,,90,12.5,90.6,40.6,22.9,,,y,,,,,,,0,2,2,,20,,,0,2,y,,n,NA,99.9 (2:38); 100.9 (2:40),juvenile to ANGB23,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB25,223 Blue LFT,,,F,L,,,,,350,22,123,56,28,,,y,,,,,,,2,2,2,,800,,,0,2,y,,n,NA,101.5 (3:05),mother to ANGB26,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB26,NA,,,M,J,,,,,120,13.3,93,43,27,,,y,,,,,,,0,2,2,,200,,,0,2,y,,n,NA,98.6 (3:07); 98.5 (3:15),juvenile to ANGB25,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB27,314 Gold LFT,,,F,L,,,,,330,21.4,130,67.7,26,,,y,,,,,,,1,2,2,,400,,,0,2,y,,n,NA,100.9 (3:40); 102 (3:30),mother to ANGB28,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB28,NA,,,F,J,,,,,80,11.6,81,38,24,,,y,,,,,,,0,2,2,,200,,,0,2,y,,n,NA,too small,juvenile to ANGB27,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB29,225 Blue LFT,,,F,L,,,,,320,21.5,126,62,31,,,y,,,,,,,0,2,2,,600,,,0,2,y,,n,NA,101.2 (4:06); 101.8 (4:17); 102.2 (4:24) 99.5 (4:31),mother to ANGB30,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoBe,"CB, CR, Dada",11/24/13,1,Eidolon dupreanum,ANGB30,NA,,,M,J,,,,,100,15.8,94.7,45.8,22.9,,,y,,,,,,,0,2,2,,300,,,0,2,y,,n,NA,97.6 (4:21); 97.6 (4:28),juvenile to ANGB29,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, Dada",11/26/13,1,Eidolon dupreanum,KEL1,224 Blue RT,,,M,A,,,,,350,20.3,133.3,70.7,27,,,y,,,,,,,1,2,2,,500,,,0,2,y,,y,NA,96.2 (7:56); sub 94 (8:18); sub 94 (8:30); sub 94 (8:38); 97 (5:22),NA,,y,0.04,0.5,,,,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, Dada",11/26/13,1,Eidolon dupreanum,KEL10,233 Blue RT,,,M,A,,,,,390,24,132,65.5,29.1,,,y,,,,,,,0,2,2,,500,,,0,2,y,,n,NA,97.5 (13:03); 98.4 (13:16),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, Dada",11/26/13,1,Eidolon dupreanum,KEL11,234 Blue LFT ,,,F,NL,,,,,300,21.3,130,60,27.5,,,y,,,,,,,0,2,2,,800,,,0,2,y,,n,NA,97.5 (14:00); 98.1 (14:09); 100.7 (14:18),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, Dada",11/26/13,1,Eidolon dupreanum,KEL12,235 Blue RT,,,M,A,,,,,260,21.7,127,59.3,25,,,y,,,,,,,2,2,2,,500,,,0,2,y,,n,NA,99.2 (14:30); 101.7 (14:39); 102.5 (14:50),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, Dada",11/26/13,1,Eidolon dupreanum,KEL13,236 Blue RT,,,M,A,,,,,300,8.5,120,55,31,,,y,,,,,,,2,2,2,,500,,,0,2,y,,n,NA,97.7 (14:46); 101.1 (15:02); 100.2 (15:07),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, Dada",11/26/13,1,Eidolon dupreanum,KEL14,237 Blue LFT,,,F,NL,,,,,310,21.8,125,52,26,,,y,,,,,,,0,2,2,,400,,,0,3,y,,n,NA,103.8 (15:15); 101.8 (15:26),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, Dada",11/26/13,1,Eidolon dupreanum,KEL15,238 Blue RT,,,M,A,,,,,320,19.5,124,60,33,,,y,,,,,,,2,2,2,,500,,,0,2,y,,n,NA,97.9 (15:20); 99.5 (15:28),NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
AngavoKely,"CB, CR, Dada",11/26/13,1,Eidolon dupreanum,KEL16,239 Blue RT,,,M,A,,,,,280,22.4,124.5,64.9,33.3,,,y,,,,,,,0,2,2,,600,,,0,2,y,,n,NA,97.9 (15:33); 99.6 (15:42); 101.4 (15:530,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,,
